Time,heatExchanger.Tcold_IN,heatExchanger.Tcold_OUT,heatExchanger.Thot_IN,heatExchanger.Thot_OUT,heatExchanger.metal.T,heatExchanger.mFlow_HOT,heatExchanger.mFlow_COLD
0.0,293.173337408,293.113192192,292.71178748,292.573963097,293.15,0.50686420781,0.304084280422
1.6,292.783117399,294.043647998,294.104370974,293.814719908,293.15,0.485392324966,0.292806179587
3.2,293.08198966,293.081763445,293.774070769,293.693036295,293.15,0.508755043132,0.286904930288
4.8,292.762575862,293.384305281,293.841457628,293.619884592,293.15,0.503828210179,0.291024909783
6.4,293.592561166,293.598997805,292.783467642,292.153809369,293.15,0.516161426301,0.305768785957
8.0,293.845380179,293.763752003,292.894543286,292.97205028,293.15,0.494844417664,0.302083465155
9.6,292.962790925,293.132729251,292.967541906,293.938346772,293.15,0.511432274197,0.305460396979
11.2,293.490599035,292.839533675,294.072001217,292.786189839,293.15,0.504146795796,0.306330079354
12.8,293.054120834,293.027454548,293.793095458,293.510886296,293.15,0.504544332756,0.310541399809
14.4,292.526370919,294.128621208,293.307063139,293.319233068,293.15,0.486999324594,0.299818224322
16.0,293.241651854,293.915808381,293.293774029,293.766400885,293.15,0.484288516264,0.319259770888
17.6,292.280798533,293.986546607,293.158265576,293.620204312,293.15,0.495161598965,0.309203808384
19.2,292.648599989,293.819001877,293.792563774,292.305555123,293.15,0.491762207226,0.302165883845
20.8,293.206381652,293.098177452,293.011952781,293.415648292,293.15,0.516253745677,0.316473591224
22.4,292.62994447,293.41229666,292.583186898,293.574270494,293.15,0.502478236878,0.317850771633
24.0,294.112652224,293.816877281,292.345657555,293.062528782,293.15,0.507685478367,0.308170080467
25.6,293.234219982,292.657147485,292.984888411,293.918660462,293.15,0.503953552987,0.318685754978
27.2,292.41934953,293.926708102,292.32769862,292.560666116,293.15,0.488498329506,0.311268650149
28.8,293.212050294,293.520216858,293.864762274,293.720750582,293.15,0.492853745107,0.294586653138
