Time,valveStuck.m_flow,valveStuck.dp,valveStuck.leakPosition,valveStuck.stuckPosition,valveStuck.valve.opening,valveStuck.cmd
0.0,-0.022444065032350538,-3516.4492675971151,0.0,1.0,1.0,1.0
2.0,0.56550741820003692,18306.891985073918,0.0,1.0,1.0,1.0
4.0,0.73800240612100865,19265.624327670754,0.0,1.0,1.0,1.0
6.0,0.91092458885596683,42340.862153937545,0.0,1.0,1.0,1.0
8.0,0.99947548044172563,49272.608878879604,0.0,1.0,1.0,1.0
10.0,1.1257105356231361,54627.638681054101,0.0,1.0,1.0,1.0
12.0,1.2938935420501192,82331.89849357694,0.0,1.0,1.0,1.0
14.0,1.3869287797474625,91563.655515342543,0.0,1.0,1.0,1.0
16.0,1.487671136883836,101141.3351491925,0.0,1.0,1.0,1.0
18.0,1.583634710034824,104322.55303027251,0.0,1.0,1.0,1.0
20.0,1.6152798478868782,118071.96041841611,0.0,1.0,1.0,1.0
22.0,1.6950850871706047,126620.6235234426,0.0,1.0,1.0,1.0
24.0,1.8134615118491495,153943.88068413635,0.0,1.0,1.0,1.0
26.0,1.841548940036426,154568.35285798286,0.0,1.0,1.0,1.0
28.0,1.9227958022659759,180092.12838344462,0.0,1.0,1.0,1.0
30.0,2.0349179607722956,176454.3007458018,0.0,1.0,1.0,1.0
32.0,2.06115811566398,194510.56859998548,0.0,1.0,1.0,1.0
34.0,2.1177329635883395,200662.38875434647,0.0,1.0,1.0,1.0
36.0,2.2125634639411587,211064.66994737508,0.0,1.0,1.0,1.0
38.0,2.3090388180536388,228587.00376852255,0.0,1.0,1.0,1.0
40.0,2.2925745831863762,242659.98287833249,0.0,1.0,1.0,1.0
42.0,2.346254229562506,247810.5291529329,0.0,1.0,1.0,1.0
44.0,2.4562834769545026,270986.12717354792,0.0,1.0,1.0,1.0
46.0,2.4983056014615639,278947.90175313706,0.0,1.0,1.0,1.0
48.0,2.5460158364271051,299042.68577510421,0.0,1.0,1.0,1.0
50.0,2.6481184664469559,308977.61115266039,0.0,1.0,1.0,1.0
52.0,2.5559672171683854,299044.36448845762,0.0,1.0,1.0,1.0
54.0,2.6045344621071629,300603.64826883533,0.0,1.0,1.0,1.0
56.0,2.5630234955143356,300891.77379962325,0.0,1.0,1.0,1.0
58.0,2.645301118872442,311239.4535000312,0.0,1.0,1.0,1.0
60.0,2.6277299865112274,295254.41706744581,0.0,1.0,1.0,1.0
62.0,2.6033022115629776,297095.89140871196,0.0,1.0,1.0,1.0
64.0,2.651993900796958,307090.47439840919,0.0,1.0,1.0,1.0
66.0,2.611569013602896,308288.07124875335,0.0,1.0,1.0,1.0
68.0,2.6191260570073109,309834.31020297011,0.0,1.0,1.0,1.0
70.0,2.6246303281545105,298188.86702690856,0.0,1.0,1.0,1.0
72.0,2.3726426489630246,311930.05705255602,0.0,1.0,0.93999999999999995,0.93999999999999995
74.0,2.1189362940564198,305817.84978008125,0.0,1.0,0.88,0.88
76.0,1.888743133050117,309589.57765840035,0.0,1.0,0.81999999999999995,0.81999999999999995
78.0,1.5915463632452842,312263.6090098042,0.0,1.0,0.76000000000000001,0.76000000000000001
80.0,1.3209138356088153,302153.46738833725,0.20000000000000001,1.0,0.69999999999999996,0.69999999999999996
82.0,1.1516229447533906,299922.38055961306,0.20000000000000001,1.0,0.64000000000000001,0.64000000000000001
84.0,0.91267633648217183,300148.11526813213,0.20000000000000001,1.0,0.57999999999999996,0.57999999999999996
86.0,0.74831625798424328,305273.92009285244,0.20000000000000001,1.0,0.52000000000000002,0.52000000000000002
88.0,0.62095355466763014,306547.82952369464,0.20000000000000001,1.0,0.46000000000000002,0.46000000000000002
90.0,0.51021088563279682,311407.88071275566,0.20000000000000001,1.0,0.40000000000000002,0.40000000000000002
92.0,0.34211018400970883,297498.22216555977,0.20000000000000001,1.0,0.34000000000000002,0.34000000000000002
94.0,0.26172815337818595,306950.34087921318,0.20000000000000001,1.0,0.28000000000000003,0.28000000000000003
96.0,0.14425235613131068,296632.58273055754,0.20000000000000001,1.0,0.22,0.22
98.0,0.11708733551913725,308203.55225840787,0.20000000000000001,1.0,0.20000000000000001,0.16
100.0,0.10797910335640787,306976.1566232898,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.10000000000000001
102.0,0.074159692367639113,297531.69097099453,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.104
104.0,0.090212420292176757,295990.42277769983,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.108
106.0,0.12859629274585069,300363.28919927764,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.112
108.0,0.081162041125932394,295466.6438097537,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.11600000000000001
110.0,0.078043699332851491,310307.58098835888,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.12
112.0,0.088889427683597699,306087.65216103924,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.124
114.0,0.10271182172961822,306253.53330978315,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.128
116.0,0.068654805422825788,294566.03779548808,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.13200000000000001
