Time,valveStuck.m_flow,valveStuck.dp,valveStuck.leakPosition,valveStuck.stuckPosition,valveStuck.valve.opening,valveStuck.cmd
70,2.60215,303975,0,1,1,1
70.5,2.59086,303975,0,1,0.985,0.985
71,2.54686,303975,0,1,0.97,0.97
71.5,2.48266,303975,0,1,0.955,0.955
72,2.41132,303975,0,1,0.94,0.94
72.5,2.33834,303975,0,1,0.925,0.925
73,2.26551,303975,0,1,0.91,0.91
73.5,2.19347,303975,0,1,0.895,0.895
74,2.12241,303975,0,1,0.88,0.88
74.5,2.05252,303975,0,1,0.865,0.865
75,1.98377,303975,0,1,0.85,0.85
75.5,1.91619,303975,0,1,0.835,0.835
76,1.84978,303975,0,1,0.82,0.82
76.5,1.78453,303975,0,1,0.805,0.805
77,1.72046,303975,0,1,0.79,0.79
77.5,1.65757,303975,0,1,0.775,0.775
78,1.59585,303975,0,1,0.76,0.76
78.5,1.5353,303975,0,1,0.745,0.745
79,1.47592,303975,0,1,0.73,0.73
79.5,1.41772,303975,0,1,0.715,0.715
79.9,1.36068,303975,0,1,0.7,0.7
80,1.36068,303975,0.2,1,0.7,0.7
80.5,1.30481,303975,0.2,1,0.685,0.685
81,1.25012,303975,0.2,1,0.67,0.67
81.5,1.1966,303975,0.2,1,0.655,0.655
82,1.14425,303975,0.2,1,0.64,0.64
82.5,1.09307,303975,0.2,1,0.625,0.625
83,1.04306,303975,0.2,1,0.61,0.61
83.5,0.994216,303975,0.2,1,0.595,0.595
84,0.946549,303975,0.2,1,0.58,0.58
84.5,0.900052,303975,0.2,1,0.565,0.565
85,0.854726,303975,0.2,1,0.55,0.55
85.5,0.810571,303975,0.2,1,0.535,0.535
86,0.767587,303975,0.2,1,0.52,0.52
86.5,0.725774,303975,0.2,1,0.505,0.505
87,0.685131,303975,0.2,1,0.49,0.49
87.5,0.64566,303975,0.2,1,0.475,0.475
88,0.60736,303975,0.2,1,0.46,0.46
88.5,0.570231,303975,0.2,1,0.445,0.445
89,0.534272,303975,0.2,1,0.43,0.43
89.5,0.499485,303975,0.2,1,0.415,0.415
90,0.465868,303975,0.2,1,0.4,0.4
90.5,0.433423,303975,0.2,1,0.385,0.385
91,0.402148,303975,0.2,1,0.37,0.37
91.5,0.372045,303975,0.2,1,0.355,0.355
92,0.343112,303975,0.2,1,0.34,0.34
92.5,0.31535,303975,0.2,1,0.325,0.325
93,0.28876,303975,0.2,1,0.31,0.31
93.5,0.26334,303975,0.2,1,0.295,0.295
94,0.239092,303975,0.2,1,0.28,0.28
94.5,0.216014,303975,0.2,1,0.265,0.265
95,0.194107,303975,0.2,1,0.25,0.25
95.5,0.173372,303975,0.2,1,0.235,0.235
96,0.153807,303975,0.2,1,0.22,0.22
96.5,0.135361,303975,0.2,1,0.204404,0.205
97,0.119174,303975,0.2,1,0.2,0.19
97.5,0.109938,303975,0.2,1,0.2,0.175
98,0.10617,303975,0.2,1,0.2,0.16
98.5,0.104811,303975,0.2,1,0.2,0.145
99,0.104314,303975,0.2,1,0.2,0.13
99.5,0.104147,303975,0.2,1,0.2,0.115
99.9,0.104099,303975,0.2,1,0.2,0.1
100,0.104099,303975,0.2,0.6,0.2,0.1
100.5,0.104089,303975,0.2,0.6,0.2,0.101
101,0.104086,303975,0.2,0.6,0.2,0.102
101.5,0.104084,303975,0.2,0.6,0.2,0.103
102,0.104084,303975,0.2,0.6,0.2,0.104
102.5,0.104085,303975,0.2,0.6,0.2,0.105
103,0.104085,303975,0.2,0.6,0.2,0.106
103.5,0.104085,303975,0.2,0.6,0.2,0.107
104,0.104086,303975,0.2,0.6,0.2,0.108
104.5,0.104086,303975,0.2,0.6,0.2,0.109
105,0.104086,303975,0.2,0.6,0.2,0.11
105.5,0.104086,303975,0.2,0.6,0.2,0.111
106,0.104086,303975,0.2,0.6,0.2,0.112
106.5,0.104086,303975,0.2,0.6,0.2,0.113
107,0.104086,303975,0.2,0.6,0.2,0.114
107.5,0.104086,303975,0.2,0.6,0.2,0.115
108,0.104086,303975,0.2,0.6,0.2,0.116
108.5,0.104086,303975,0.2,0.6,0.2,0.117
109,0.104086,303975,0.2,0.6,0.2,0.118
109.5,0.104086,303975,0.2,0.6,0.2,0.119
110,0.104086,303975,0.2,0.6,0.2,0.12
110.5,0.104086,303975,0.2,0.6,0.2,0.121
111,0.104086,303975,0.2,0.6,0.2,0.122
111.5,0.104086,303975,0.2,0.6,0.2,0.123
112,0.104086,303975,0.2,0.6,0.2,0.124
112.5,0.104086,303975,0.2,0.6,0.2,0.125
113,0.104086,303975,0.2,0.6,0.2,0.126
113.5,0.104086,303975,0.2,0.6,0.2,0.127
114,0.104086,303975,0.2,0.6,0.2,0.128
114.5,0.104086,303975,0.2,0.6,0.2,0.129
115,0.104086,303975,0.2,0.6,0.2,0.13
115.5,0.104086,303975,0.2,0.6,0.2,0.131
116,0.104086,303975,0.2,0.6,0.2,0.132
116.5,0.104086,303975,0.2,0.6,0.2,0.133
117,0.104086,303975,0.2,0.6,0.2,0.134
117.5,0.104086,303975,0.2,0.6,0.2,0.135
118,0.104086,303975,0.2,0.6,0.2,0.136
118.5,0.104086,303975,0.2,0.6,0.2,0.137
119,0.104086,303975,0.2,0.6,0.2,0.138
119.5,0.104086,303975,0.2,0.6,0.2,0.139
120,0.104086,303975,0.2,0.6,0.2,0.14
120.5,0.104086,303975,0.2,0.6,0.2,0.141
121,0.104086,303975,0.2,0.6,0.2,0.142
121.5,0.104086,303975,0.2,0.6,0.2,0.143
122,0.104086,303975,0.2,0.6,0.2,0.144
122.5,0.104086,303975,0.2,0.6,0.2,0.145
123,0.104086,303975,0.2,0.6,0.2,0.146
123.5,0.104086,303975,0.2,0.6,0.2,0.147
124,0.104086,303975,0.2,0.6,0.2,0.148
124.5,0.104086,303975,0.2,0.6,0.2,0.149
125,0.104086,303975,0.2,0.6,0.2,0.15
125.5,0.104086,303975,0.2,0.6,0.2,0.151
126,0.104086,303975,0.2,0.6,0.2,0.152
126.5,0.104086,303975,0.2,0.6,0.2,0.153
127,0.104086,303975,0.2,0.6,0.2,0.154
127.5,0.104086,303975,0.2,0.6,0.2,0.155
128,0.104086,303975,0.2,0.6,0.2,0.156
128.5,0.104086,303975,0.2,0.6,0.2,0.157
129,0.104086,303975,0.2,0.6,0.2,0.158
129.5,0.104086,303975,0.2,0.6,0.2,0.159
130,0.104086,303975,0.2,0.6,0.2,0.16
130.5,0.104086,303975,0.2,0.6,0.2,0.161
131,0.104086,303975,0.2,0.6,0.2,0.162
131.5,0.104086,303975,0.2,0.6,0.2,0.163
132,0.104086,303975,0.2,0.6,0.2,0.164
132.5,0.104086,303975,0.2,0.6,0.2,0.165
133,0.104086,303975,0.2,0.6,0.2,0.166
133.5,0.104086,303975,0.2,0.6,0.2,0.167
134,0.104086,303975,0.2,0.6,0.2,0.168
134.5,0.104086,303975,0.2,0.6,0.2,0.169
135,0.104086,303975,0.2,0.6,0.2,0.17
135.5,0.104086,303975,0.2,0.6,0.2,0.171
136,0.104086,303975,0.2,0.6,0.2,0.172
136.5,0.104086,303975,0.2,0.6,0.2,0.173
137,0.104086,303975,0.2,0.6,0.2,0.174
137.5,0.104086,303975,0.2,0.6,0.2,0.175
138,0.104086,303975,0.2,0.6,0.2,0.176
138.5,0.104086,303975,0.2,0.6,0.2,0.177
139,0.104086,303975,0.2,0.6,0.2,0.178
139.5,0.104086,303975,0.2,0.6,0.2,0.179
140,0.104086,303975,0.2,0.6,0.2,0.18
140.5,0.104086,303975,0.2,0.6,0.2,0.181
141,0.104086,303975,0.2,0.6,0.2,0.182
141.5,0.104086,303975,0.2,0.6,0.2,0.183
142,0.104086,303975,0.2,0.6,0.2,0.184
142.5,0.104086,303975,0.2,0.6,0.2,0.185
143,0.104086,303975,0.2,0.6,0.2,0.186
143.5,0.104086,303975,0.2,0.6,0.2,0.187
144,0.104086,303975,0.2,0.6,0.2,0.188
144.5,0.104086,303975,0.2,0.6,0.2,0.189
145,0.104086,303975,0.2,0.6,0.2,0.19
145.5,0.104086,303975,0.2,0.6,0.2,0.191
146,0.104086,303975,0.2,0.6,0.199983,0.192
146.5,0.104086,303975,0.2,0.6,0.199865,0.193
147,0.104086,303975,0.2,0.6,0.19964,0.194
147.5,0.104086,303975,0.2,0.6,0.199404,0.195
148,0.104086,303975,0.2,0.6,0.199242,0.196
148.5,0.104086,303975,0.2,0.6,0.199204,0.197
149,0.104086,303975,0.2,0.6,0.199314,0.198
149.5,0.104086,303975,0.2,0.6,0.199579,0.199
149.9,0.104086,303975,0.2,0.6,0.2,0.2
150,0.104086,303975,0.2,0.6,0.2,0.2
150.5,0.105527,303975,0.2,0.6,0.21,0.21
151,0.11156,303975,0.2,0.6,0.22,0.22
151.5,0.120799,303975,0.2,0.6,0.23,0.23
152,0.131617,303975,0.2,0.6,0.24,0.24
152.5,0.143327,303975,0.2,0.6,0.25,0.25
153,0.155704,303975,0.2,0.6,0.26,0.26
153.5,0.168656,303975,0.2,0.6,0.27,0.27
154,0.182162,303975,0.2,0.6,0.28,0.28
154.5,0.196186,303975,0.2,0.6,0.29,0.29
155,0.210735,303975,0.2,0.6,0.3,0.3
155.5,0.225808,303975,0.2,0.6,0.31,0.31
156,0.241401,303975,0.2,0.6,0.32,0.32
156.5,0.257515,303975,0.2,0.6,0.33,0.33
157,0.274149,303975,0.2,0.6,0.34,0.34
157.5,0.291301,303975,0.2,0.6,0.35,0.35
158,0.308975,303975,0.2,0.6,0.36,0.36
158.5,0.327168,303975,0.2,0.6,0.37,0.37
159,0.345882,303975,0.2,0.6,0.38,0.38
159.5,0.365117,303975,0.2,0.6,0.39,0.39
160,0.384872,303975,0.2,0.6,0.4,0.4
160.5,0.405147,303975,0.2,0.6,0.41,0.41
161,0.425943,303975,0.2,0.6,0.42,0.42
161.5,0.447259,303975,0.2,0.6,0.43,0.43
162,0.469095,303975,0.2,0.6,0.44,0.44
162.5,0.491452,303975,0.2,0.6,0.45,0.45
163,0.514329,303975,0.2,0.6,0.46,0.46
163.5,0.537727,303975,0.2,0.6,0.47,0.47
164,0.561645,303975,0.2,0.6,0.48,0.48
164.5,0.586084,303975,0.2,0.6,0.49,0.49
165,0.611043,303975,0.2,0.6,0.5,0.5
165.5,0.636522,303975,0.2,0.6,0.51,0.51
166,0.662522,303975,0.2,0.6,0.52,0.52
166.5,0.689043,303975,0.2,0.6,0.53,0.53
167,0.716083,303975,0.2,0.6,0.54,0.54
167.5,0.743645,303975,0.2,0.6,0.55,0.55
168,0.771726,303975,0.2,0.6,0.56,0.56
168.5,0.800328,303975,0.2,0.6,0.57,0.57
169,0.829451,303975,0.2,0.6,0.58,0.58
169.5,0.859605,303975,0.2,0.6,0.59,0.59
170,0.890279,303975,0.2,0.6,0.6,0.6
170.5,0.915863,303975,0.2,0.6,0.6,0.61
171,0.92916,303975,0.2,0.6,0.6,0.62
171.5,0.9342,303975,0.2,0.6,0.6,0.63
172,0.935791,303975,0.2,0.6,0.6,0.64
172.5,0.936386,303975,0.2,0.6,0.6,0.65
173,0.936652,303975,0.2,0.6,0.6,0.66
173.5,0.936765,303975,0.2,0.6,0.6,0.67
174,0.936799,303975,0.2,0.6,0.6,0.68
174.5,0.936802,303975,0.2,0.6,0.6,0.69
175,0.936805,303975,0.2,0.6,0.6,0.7
175.5,0.936798,303975,0.2,0.6,0.6,0.71
176,0.936794,303975,0.2,0.6,0.6,0.72
176.5,0.936789,303975,0.2,0.6,0.6,0.73
177,0.936784,303975,0.2,0.6,0.6,0.74
177.5,0.93678,303975,0.2,0.6,0.6,0.75
178,0.936777,303975,0.2,0.6,0.6,0.76
178.5,0.936776,303975,0.2,0.6,0.6,0.77
179,0.936775,303975,0.2,0.6,0.6,0.78
179.5,0.936774,303975,0.2,0.6,0.6,0.79
179.9,0.936774,303975,0.2,0.6,0.6,0.8
180,0.936774,303975,0.2,0.6,0.6,0.8
180.5,0.936773,303975,0.2,0.6,0.6,0.801667
181,0.936773,303975,0.2,0.6,0.6,0.803333
181.5,0.936773,303975,0.2,0.6,0.6,0.805
182,0.936773,303975,0.2,0.6,0.6,0.806667
182.5,0.936773,303975,0.2,0.6,0.6,0.808333
183,0.936773,303975,0.2,0.6,0.6,0.81
183.5,0.936773,303975,0.2,0.6,0.6,0.811667
184,0.936773,303975,0.2,0.6,0.6,0.813333
184.5,0.936773,303975,0.2,0.6,0.6,0.815
185,0.936773,303975,0.2,0.6,0.6,0.816667
185.5,0.936773,303975,0.2,0.6,0.6,0.818333
186,0.936773,303975,0.2,0.6,0.6,0.82
186.5,0.936773,303975,0.2,0.6,0.6,0.821667
187,0.936773,303975,0.2,0.6,0.6,0.823333
187.5,0.936773,303975,0.2,0.6,0.6,0.825
188,0.936773,303975,0.2,0.6,0.6,0.826667
188.5,0.936773,303975,0.2,0.6,0.6,0.828333
189,0.936773,303975,0.2,0.6,0.6,0.83
189.5,0.936773,303975,0.2,0.6,0.6,0.831667
190,0.936773,303975,0.2,0.6,0.6,0.833333
190.5,0.936773,303975,0.2,0.6,0.6,0.835
191,0.936773,303975,0.2,0.6,0.6,0.836667
191.5,0.936773,303975,0.2,0.6,0.6,0.838333
192,0.936773,303975,0.2,0.6,0.6,0.84
192.5,0.936773,303975,0.2,0.6,0.6,0.841667
193,0.936773,303975,0.2,0.6,0.6,0.843333
193.5,0.936773,303975,0.2,0.6,0.6,0.845
194,0.936773,303975,0.2,0.6,0.6,0.846667
194.5,0.936773,303975,0.2,0.6,0.6,0.848333
195,0.936773,303975,0.2,0.6,0.6,0.85
195.5,0.936773,303975,0.2,0.6,0.6,0.851667
196,0.936773,303975,0.2,0.6,0.6,0.853333
196.5,0.936773,303975,0.2,0.6,0.6,0.855
197,0.936773,303975,0.2,0.6,0.6,0.856667
197.5,0.936773,303975,0.2,0.6,0.6,0.858333
198,0.936773,303975,0.2,0.6,0.6,0.86
198.5,0.936773,303975,0.2,0.6,0.6,0.861667
199,0.936773,303975,0.2,0.6,0.6,0.863333
199.5,0.936773,303975,0.2,0.6,0.6,0.865
200,0.936773,303975,0.2,0.6,0.6,0.866667
200.5,0.936773,303975,0.2,0.6,0.6,0.868333
201,0.936773,303975,0.2,0.6,0.6,0.87
201.5,0.936773,303975,0.2,0.6,0.6,0.871667
202,0.936773,303975,0.2,0.6,0.6,0.873333
202.5,0.936773,303975,0.2,0.6,0.6,0.875
203,0.936773,303975,0.2,0.6,0.6,0.876667
203.5,0.936773,303975,0.2,0.6,0.6,0.878333
204,0.936773,303975,0.2,0.6,0.6,0.88
204.5,0.936773,303975,0.2,0.6,0.6,0.881667
205,0.936773,303975,0.2,0.6,0.6,0.883333
205.5,0.936773,303975,0.2,0.6,0.6,0.885
206,0.936773,303975,0.2,0.6,0.6,0.886667
206.5,0.936773,303975,0.2,0.6,0.6,0.888333
207,0.936773,303975,0.2,0.6,0.6,0.89
207.5,0.936773,303975,0.2,0.6,0.6,0.891667
208,0.936773,303975,0.2,0.6,0.6,0.893333
208.5,0.936773,303975,0.2,0.6,0.6,0.895
209,0.936773,303975,0.2,0.6,0.6,0.896667
209.5,0.936773,303975,0.2,0.6,0.6,0.898333
210,0.936773,303975,0.2,0.6,0.6,0.9
210.5,0.936773,303975,0.2,0.6,0.6,0.901667
211,0.936773,303975,0.2,0.6,0.6,0.903333
211.5,0.936773,303975,0.2,0.6,0.6,0.905
212,0.936773,303975,0.2,0.6,0.6,0.906667
212.5,0.936773,303975,0.2,0.6,0.6,0.908333
213,0.936773,303975,0.2,0.6,0.6,0.91
213.5,0.936773,303975,0.2,0.6,0.6,0.911667
214,0.936773,303975,0.2,0.6,0.6,0.913333
214.5,0.936773,303975,0.2,0.6,0.6,0.915
215,0.936773,303975,0.2,0.6,0.6,0.916667
215.5,0.936773,303975,0.2,0.6,0.6,0.918333
216,0.936773,303975,0.2,0.6,0.6,0.92
