Time,system.u,system.x,system.y
10.44,1,2.49994,7.59983
10.5,1,2.49994,7.59983
10.56,1,2.49995,7.59984
10.62,1,2.49995,7.59984
10.68,1,2.49995,7.59985
10.74,1,2.49995,7.59986
10.8,1,2.49995,7.59986
10.86,1,2.49996,7.59987
10.92,1,2.49996,7.59987
10.98,1,2.49996,7.59988
11.04,1,2.49996,7.59988
11.1,1,2.49996,7.59989
11.16,1,2.49996,7.5999
11.22,1,2.49997,7.5999
11.28,1,2.49997,7.5999
11.34,1,2.49997,7.5999
11.4,1,2.49997,7.5999
11.46,1,2.49997,7.5999
11.52,1,2.49997,7.59991
11.58,1,2.49997,7.59991
11.64,1,2.49997,7.59991
11.7,1,2.49997,7.59991
11.76,1,2.49997,7.59991
11.82,1,2.49997,7.59991
11.88,1,2.49997,7.59992
11.94,1,2.49997,7.59992
12,1,2.49997,7.59992
12.06,1,2.49997,7.59992
12.12,1,2.49997,7.59992
12.18,1,2.49998,7.59993
12.24,1,2.49998,7.59993
12.3,1,2.49998,7.59993
12.36,1,2.49998,7.59993
12.42,1,2.49998,7.59993
12.48,1,2.49998,7.59993
12.54,1,2.49998,7.59994
12.6,1,2.49998,7.59994
12.66,1,2.49998,7.59994
12.72,1,2.49998,7.59994
12.78,1,2.49998,7.59994
12.84,1,2.49998,7.59995
12.9,1,2.49998,7.59995
12.96,1,2.49998,7.59995
13.02,1,2.49998,7.59995
13.08,1,2.49998,7.59995
13.14,1,2.49998,7.59995
13.2,1,2.49999,7.59996
13.26,1,2.49999,7.59996
13.32,1,2.49999,7.59996
13.38,1,2.49999,7.59996
13.44,1,2.49999,7.59996
13.5,1,2.49999,7.59996
13.56,1,2.49999,7.59997
13.62,1,2.49999,7.59997
13.68,1,2.49999,7.59997
13.74,1,2.49999,7.59997
13.8,1,2.49999,7.59997
13.86,1,2.49999,7.59997
13.92,1,2.49999,7.59997
13.98,1,2.49999,7.59997
14.04,1,2.49999,7.59997
14.1,1,2.49999,7.59997
14.16,1,2.49999,7.59997
14.22,1,2.49999,7.59997
14.28,1,2.49999,7.59997
14.34,1,2.49999,7.59997
14.4,1,2.49999,7.59997
