Time,valveStuck.m_flow,valveStuck.m_flow_real,valveStuck.cmd,valveStuck.bias,valveStuck.lambda,valveStuck.dp,valveStuck.T_in,valveStuck.valve.opening
0,0,0,1,0,0.01,0,288.15,1
0.72,0.12138,0.127479,1,0,0.01,729.54,288.366,1
1.44,0.172047,0.180282,1,0,0.01,1459.08,288.582,1
2.16,0.21119,0.2208,1,0,0.01,2188.62,288.798,1
2.88,0.244412,0.254957,1,0,0.01,2918.16,289.014,1
3.6,0.273877,0.285051,1,0,0.01,3647.7,289.23,1
4.32,0.300692,0.312258,1,0,0.01,4377.24,289.446,1
5.04,0.325513,0.337277,1,0,0.01,5106.78,289.662,1
5.76,0.348766,0.360564,1,0,0.01,5836.32,289.878,1
6.48,0.370749,0.382436,1,0,0.01,6565.86,290.094,1
7.2,0.391674,0.403123,1,0,0.01,7295.4,290.31,1
7.92,0.411705,0.422799,1,0,0.01,8024.94,290.526,1
8.64,0.430965,0.441599,1,0,0.01,8754.48,290.742,1
9.36,0.449556,0.459631,1,0,0.01,9484.02,290.958,1
10.08,0.467556,0.476981,1,0,0.01,10213.6,291.174,1
10.8,0.485033,0.493723,1,0,0.01,10943.1,291.39,1
11.52,0.502042,0.509915,1,0,0.01,11672.6,291.606,1
12.24,0.518628,0.525608,1,0,0.01,12402.2,291.822,1
12.96,0.534832,0.540846,1,0,0.01,13131.7,292.038,1
13.68,0.550688,0.555667,1,0,0.01,13861.3,292.254,1
14.4,0.566225,0.570102,1,0,0.01,14590.8,292.47,1
15.12,0.58147,0.584181,1,0,0.01,15320.3,292.686,1
15.84,0.596445,0.597928,1,0,0.01,16049.9,292.902,1
16.56,0.611171,0.611366,1,0,0.01,16779.4,293.118,1
17.28,0.625664,0.624515,1,0,0.01,17509,293.334,1
18,0.639943,0.637393,1,0,0.01,18238.5,293.55,1
18.72,0.65402,0.650016,1,0,0.01,18968,293.766,1
19.44,0.66791,0.662399,1,0,0.01,19697.6,293.982,1
20.16,0.681623,0.674554,1,0,0.01,20427.1,294.198,1
20.88,0.695171,0.686494,1,0,0.01,21156.7,294.414,1
21.6,0.708563,0.698229,1,0,0.01,21886.2,294.63,1
22.32,0.721809,0.709771,1,0,0.01,22615.7,294.846,1
23.04,0.734916,0.721128,1,0,0.01,23345.3,295.062,1
23.76,0.747893,0.732309,1,0,0.01,24074.8,295.278,1
24.48,0.760745,0.743322,1,0,0.01,24804.4,295.494,1
25.2,0.773481,0.754174,1,0,0.01,25533.9,295.71,1
25.92,0.786105,0.764872,1,0,0.01,26263.4,295.926,1
26.64,0.798623,0.775422,1,0,0.01,26993,296.142,1
27.36,0.811041,0.785831,1,0,0.01,27722.5,296.358,1
28.08,0.823363,0.796104,1,0,0.01,28452.1,296.574,1
28.8,0.835593,0.806246,1,0,0.01,29181.6,296.79,1
29.52,0.847737,0.816262,1,0,0.01,29911.1,297.006,1
30.24,0.859797,0.826156,1,0,0.01,30640.7,297.222,1
30.96,0.871778,0.835933,1,0,0.01,31370.2,297.438,1
31.68,0.883683,0.845598,1,0,0.01,32099.8,297.654,1
32.4,0.895516,0.855153,1,0,0.01,32829.3,297.87,1
33.12,0.907279,0.864602,1,0,0.01,33558.8,298.086,1
33.84,0.918976,0.87395,1,0,0.01,34288.4,298.302,1
34.56,0.930608,0.883198,1,0,0.01,35017.9,298.518,1
35.28,0.942179,0.892351,1,0,0.01,35747.5,298.734,1
36,0.953692,0.90141,1,0,0.01,36477,298.95,1
36.72,0.965148,0.91038,1,0,0.01,37206.5,299.166,1
37.44,0.97655,0.919262,1,0,0.01,37936.1,299.382,1
38.16,0.9879,0.928059,1,0,0.01,38665.6,299.598,1
38.88,0.9992,0.936773,1,0,0.01,39395.2,299.814,1
39.6,1.01045,0.945407,1,0,0.01,40124.7,300.03,1
40.32,1.02166,0.953963,1,0,0.01,40854.2,300.246,1
41.04,1.03282,0.962443,1,0,0.01,41583.8,300.462,1
41.76,1.04393,0.970849,1,0,0.01,42313.3,300.678,1
42.48,1.05501,0.979182,1,0,0.01,43042.9,300.894,1
43.2,1.06605,0.987445,1,0,0.01,43772.4,301.11,1
43.92,1.07704,0.99564,1,0,0.01,44501.9,301.326,1
44.64,1.088,1.00377,1,0,0.01,45231.5,301.542,1
45.36,1.09893,1.01183,1,0,0.01,45961,301.758,1
46.08,1.10982,1.01983,1,0,0.01,46690.6,301.974,1
46.8,1.12068,1.02777,1,0,0.01,47420.1,302.19,1
47.52,1.1315,1.03564,1,0,0.01,48149.6,302.406,1
48.24,1.14229,1.04346,1,0,0.01,48879.2,302.622,1
48.96,1.15306,1.05122,1,0,0.01,49608.7,302.838,1
49.68,1.16379,1.05892,1,0,0.01,50338.3,303.054,1
50,1.16855,1.06232,1,0,0.01,50662.5,303.15,1
50.4,1.16983,1.06232,1,0,0.01,50662.5,303.27,1
51.12,1.17212,1.06232,1,0,0.01,50662.5,303.486,1
51.84,1.17442,1.06232,1,0,0.01,50662.5,303.702,1
52.56,1.17671,1.06232,1,0,0.01,50662.5,303.918,1
53.28,1.17901,1.06232,1,0,0.01,50662.5,304.134,1
54,1.1813,1.06232,1,0,0.01,50662.5,304.35,1
54.72,1.1836,1.06232,1,0,0.01,50662.5,304.566,1
55.44,1.18589,1.06232,1,0,0.01,50662.5,304.782,1
56.16,1.18819,1.06232,1,0,0.01,50662.5,304.998,1
56.88,1.19048,1.06232,1,0,0.01,50662.5,305.214,1
57.6,1.19278,1.06232,1,0,0.01,50662.5,305.43,1
58.32,1.19507,1.06232,1,0,0.01,50662.5,305.646,1
59.04,1.19736,1.06232,1,0,0.01,50662.5,305.862,1
59.76,1.19966,1.06232,1,0,0.01,50662.5,306.078,1
60.48,1.20195,1.06232,1,0,0.01,50662.5,306.294,1
61.2,1.20425,1.06232,1,0,0.01,50662.5,306.51,1
61.92,1.20654,1.06232,1,0,0.01,50662.5,306.726,1
62.64,1.20884,1.06232,1,0,0.01,50662.5,306.942,1
63.36,1.21113,1.06232,1,0,0.01,50662.5,307.158,1
64.08,1.21343,1.06232,1,0,0.01,50662.5,307.374,1
64.8,1.21572,1.06232,1,0,0.01,50662.5,307.59,1
65.52,1.21802,1.06232,1,0,0.01,50662.5,307.806,1
66.24,1.22031,1.06232,1,0,0.01,50662.5,308.022,1
66.96,1.22261,1.06232,1,0,0.01,50662.5,308.238,1
67.68,1.2249,1.06232,1,0,0.01,50662.5,308.454,1
68.4,1.22719,1.06232,1,0,0.01,50662.5,308.67,1
69.12,1.22949,1.06232,1,0,0.01,50662.5,308.886,1
69.84,1.23178,1.06232,1,0,0.01,50662.5,309.102,1
69.9,1.23229,1.06232,1,0,0.01,50662.5,309.15,1
70,1.23229,1.06232,1,0,0.01,50662.5,309.15,1
70.56,1.19296,1.02693,0.9832,0,0.01,50662.5,309.318,0.9832
71.28,1.14324,0.982302,0.9616,0,0.01,50662.5,309.534,0.9616
72,1.09449,0.938668,0.94,0,0.01,50662.5,309.75,0.94
72.72,1.0467,0.896025,0.9184,0,0.01,50662.5,309.966,0.9184
73.44,0.99989,0.854373,0.8968,0,0.01,50662.5,310.182,0.8968
74.16,0.954061,0.813712,0.8752,0,0.01,50662.5,310.398,0.8752
74.88,0.909222,0.774043,0.8536,0,0.01,50662.5,310.614,0.8536
75.6,0.865377,0.735365,0.832,0,0.01,50662.5,310.83,0.832
76.32,0.822535,0.697678,0.8104,0,0.01,50662.5,311.046,0.8104
77.04,0.7807,0.660983,0.7888,0,0.01,50662.5,311.262,0.7888
77.76,0.739879,0.625278,0.7672,0,0.01,50662.5,311.478,0.7672
78.48,0.70008,0.590565,0.7456,0,0.01,50662.5,311.694,0.7456
79.2,0.661308,0.556844,0.724,0,0.01,50662.5,311.91,0.724
79.92,0.623569,0.524113,0.7024,0,0.01,50662.5,312.126,0.7024
79.99,0.61944,0.520538,0.7,0,0.01,50662.5,312.15,0.7
80,0.61944,0.520538,0.7,0,0.01,50662.5,312.15,0.7
80.64,0.586871,0.492374,0.6808,0,0.01,50662.5,312.342,0.6808
81.36,0.551219,0.461626,0.6592,0,0.01,50662.5,312.558,0.6592
82.08,0.51662,0.43187,0.6376,0,0.01,50662.5,312.774,0.6376
82.8,0.48308,0.403105,0.616,0,0.01,50662.5,312.99,0.616
83.52,0.450607,0.37533,0.5944,0,0.01,50662.5,313.206,0.5944
84.24,0.419205,0.348548,0.5728,0,0.01,50662.5,313.422,0.5728
84.96,0.388883,0.322756,0.5512,0,0.01,50662.5,313.638,0.5512
84.99,0.38723,0.321352,0.55,0,0.01,50662.5,313.65,0.55
85,0.38723,0.321352,0.55,0,0.01,50662.5,313.65,0.55
85.68,0.359645,0.297956,0.5296,0,0.01,50662.5,313.854,0.5296
86.4,0.331499,0.274147,0.508,0,0.01,50662.5,314.07,0.508
87.12,0.30445,0.251329,0.4864,0,0.01,50662.5,314.286,0.4864
