Time,valveStuck.m_flow,valveStuck.dp,valveStuck.leakPosition,valveStuck.stuckPosition,valveStuck.valve.opening,valveStuck.cmd
0.0,0.0067687390223095893,8833.5135051803954,0.0,1.0,1.0,1.0
2.0,0.6181059435699896,6419.1406284904988,0.0,1.0,1.0,1.0
4.0,0.76248854657435361,20004.27051806308,0.0,1.0,1.0,1.0
6.0,0.98528613981876068,36306.795464913725,0.0,1.0,1.0,1.0
8.0,1.1050431191075369,56267.985126184438,0.0,1.0,1.0,1.0
10.0,1.0886594133191358,51363.45798200259,0.0,1.0,1.0,1.0
12.0,1.2627975715244331,75861.287576251518,0.0,1.0,1.0,1.0
14.0,1.2988888505297973,77348.402368315335,0.0,1.0,1.0,1.0
16.0,1.4879941700509003,90045.838087915428,0.0,1.0,1.0,1.0
18.0,1.5637238844042103,106934.61360658106,0.0,1.0,1.0,1.0
20.0,1.7434010094897725,121414.77005192506,0.0,1.0,1.0,1.0
22.0,1.8142556604336169,140341.22439665513,0.0,1.0,1.0,1.0
24.0,1.7842145893900689,142843.8919017817,0.0,1.0,1.0,1.0
26.0,1.8593865021774667,159285.00867010027,0.0,1.0,1.0,1.0
28.0,1.9765698966116938,162785.36360003205,0.0,1.0,1.0,1.0
30.0,1.9667210606336902,186481.9482255707,0.0,1.0,1.0,1.0
32.0,2.1157262078779979,200159.21002335788,0.0,1.0,1.0,1.0
34.0,2.2149521967920824,199156.18163314692,0.0,1.0,1.0,1.0
36.0,2.1648495108686014,211688.09179978308,0.0,1.0,1.0,1.0
38.0,2.2956109959854913,233169.40395089515,0.0,1.0,1.0,1.0
40.0,2.3963353192430041,239217.19610664406,0.0,1.0,1.0,1.0
42.0,2.3760663624924905,247199.43600521283,0.0,1.0,1.0,1.0
44.0,2.5187508358201662,261384.32744072418,0.0,1.0,1.0,1.0
46.0,2.5870295457750268,287644.53156499419,0.0,1.0,1.0,1.0
48.0,2.5408648664172651,284594.05378491711,0.0,1.0,1.0,1.0
50.0,2.5110916797191414,300738.82959723292,0.0,1.0,1.0,1.0
52.0,2.6972024034143915,303965.04458722705,0.0,1.0,1.0,1.0
54.0,2.6156667465607266,296503.30302797433,0.0,1.0,1.0,1.0
56.0,2.5236455672981211,304728.69199397118,0.0,1.0,1.0,1.0
58.0,2.5390937770679063,299725.42950113723,0.0,1.0,1.0,1.0
60.0,2.5765502172020924,309142.73703294271,0.0,1.0,1.0,1.0
62.0,2.6532773186516252,304453.55920828256,0.0,1.0,1.0,1.0
64.0,2.6726924935057603,296010.97902794642,0.0,1.0,1.0,1.0
66.0,2.6627871657538895,296700.89854035334,0.0,1.0,1.0,1.0
68.0,2.5161280705270288,295118.28301016474,0.0,1.0,1.0,1.0
70.0,2.6786893385999613,308926.12263800966,0.0,1.0,1.0,1.0
72.0,2.5197287404860695,304749.49125691922,0.0,1.0,0.93999999999999995,0.93999999999999995
74.0,2.4366542652631944,299666.3362704122,0.0,1.0,0.88,0.88
76.0,2.2281083253321676,303736.96022666461,0.0,1.0,0.81999999999999995,0.81999999999999995
78.0,2.0531259707413962,312882.9539981609,0.0,1.0,0.76000000000000001,0.76000000000000001
80.0,1.8852444151565184,301617.48830501141,0.20000000000000001,1.0,0.69999999999999996,0.69999999999999996
82.0,1.7518224383931362,304833.06269763171,0.20000000000000001,1.0,0.64000000000000001,0.64000000000000001
84.0,1.5436616510365786,309567.12893084437,0.20000000000000001,1.0,0.57999999999999996,0.57999999999999996
86.0,1.3239730495777202,312114.62521305762,0.20000000000000001,1.0,0.52000000000000002,0.52000000000000002
88.0,1.2074549920638855,298928.61594623723,0.20000000000000001,1.0,0.46000000000000002,0.46000000000000002
90.0,1.0905910863306092,294905.16645764612,0.20000000000000001,1.0,0.40000000000000002,0.40000000000000002
92.0,0.92037449767269364,304677.97205040371,0.20000000000000001,1.0,0.34000000000000002,0.34000000000000002
94.0,0.77605532576378433,301904.94647938077,0.20000000000000001,1.0,0.28000000000000003,0.28000000000000003
96.0,0.64504286367394315,301043.09010034677,0.20000000000000001,1.0,0.22,0.22
98.0,0.49822928947304196,304740.18233827606,0.20000000000000001,1.0,0.20000000000000001,0.16
100.0,0.48376681209754702,304030.79628835508,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.10000000000000001
102.0,0.59091851875530921,311351.185376635,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.104
104.0,0.61472622066580751,303815.38095047133,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.108
106.0,0.46855852808500142,297314.69052945706,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.112
108.0,0.52845601808036258,301877.94215386262,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.11600000000000001
110.0,0.46248310794908365,294781.63828304323,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.12
112.0,0.59259957090883542,308602.51381527347,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.124
114.0,0.50277046032368478,295941.77349649766,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.128
116.0,0.58747185007441616,296963.38597677718,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.13200000000000001
118.0,0.58888272054035939,304313.72205822117,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.13600000000000001
120.0,0.43866692929176193,310936.48933379631,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.14000000000000001
122.0,0.5522411646485067,301209.04593201238,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.14399999999999999
124.0,0.57643699872376353,313907.15933180385,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.14799999999999999
126.0,0.5487712420319858,310214.13157352229,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.152
128.0,0.51934787191511189,300310.02609779505,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.156
130.0,0.61965417869462225,308957.38905369164,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.16
132.0,0.43063110204264582,300395.24690821744,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.16400000000000001
134.0,0.53848836785837562,296236.97993779031,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.16800000000000001
136.0,0.60874911126895015,299923.89920584962,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.17199999999999999
138.0,0.61200934308701072,297874.91959061555,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.17599999999999999
140.0,0.52859364321084756,310094.93976745597,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.17999999999999999
142.0,0.46749016906134311,309408.31375333964,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.184
144.0,0.49306790698864833,307717.15262521314,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.188
146.0,0.58956092322691844,313173.38685809204,0.20000000000000001,0.59999999999999998,0.19998299999999999,0.192
148.0,0.58427531150419687,308673.46373460069,0.20000000000000001,0.59999999999999998,0.199242,0.19600000000000001
150.0,0.55821516711222074,310696.3742899372,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.20000000000000001
152.0,0.63526963622685795,312014.67895692337,0.20000000000000001,0.59999999999999998,0.23999999999999999,0.23999999999999999
154.0,0.62423421090496367,298234.87423509528,0.20000000000000001,0.59999999999999998,0.28000000000000003,0.28000000000000003
156.0,0.75481316085383598,303853.84578163736,0.20000000000000001,0.59999999999999998,0.32000000000000001,0.32000000000000001
158.0,0.81281239245810677,299944.86760635814,0.20000000000000001,0.59999999999999998,0.35999999999999999,0.35999999999999999
160.0,0.96278656607212465,298204.51527698117,0.20000000000000001,0.59999999999999998,0.40000000000000002,0.40000000000000002
162.0,1.0088975088423697,299358.73402795306,0.20000000000000001,0.59999999999999998,0.44,0.44
164.0,1.2093185252844065,313163.16349039378,0.20000000000000001,0.59999999999999998,0.47999999999999998,0.47999999999999998
166.0,1.3145517543408003,304317.05353994085,0.20000000000000001,0.59999999999999998,0.52000000000000002,0.52000000000000002
168.0,1.4123882696221071,310570.27736489923,0.20000000000000001,0.59999999999999998,0.56000000000000005,0.56000000000000005
170.0,1.5861011693747682,300500.82720236562,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.59999999999999998
172.0,1.5609347053986997,293993.84566802823,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.64000000000000001
174.0,1.4660700913421578,307287.64910751651,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.68000000000000005
176.0,1.6062940554252345,298001.30201653176,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.71999999999999997
178.0,1.5168181267672269,312268.59588919778,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.76000000000000001
180.0,1.4858440481678872,305105.93906234228,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.80000000000000004
182.0,1.5520663793866138,308154.03137793305,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.80666700000000002
184.0,1.605358593516339,310034.68080408039,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.81333299999999997
186.0,1.4740238571657294,299608.09585312533,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.81999999999999995
188.0,1.5422370372596312,303948.74643438379,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.82666700000000004
190.0,1.5004622739451778,305480.60791437887,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.83333299999999999
192.0,1.5588728307648105,295872.55856929359,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.83999999999999997
194.0,1.4994303486969718,307867.56711226847,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.84666699999999995
196.0,1.5711340884277882,311847.47249968816,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.85333300000000001
198.0,1.4772817398381637,306858.72737093968,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.85999999999999999
200.0,1.5812475408393127,313658.05808753974,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.86666699999999997
202.0,1.5282664875842578,313972.0061092113,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.87333300000000003
204.0,1.5007563852978199,303696.3250246275,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.88
206.0,1.5409530562468727,297079.80921867996,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.88666699999999998
208.0,1.5329071829041616,313019.82560414239,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.89333300000000004
210.0,1.5984965369322179,301042.24082444486,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.90000000000000002
212.0,1.5754773851041146,295532.92077844078,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.906667
214.0,1.5056469884767094,305840.75569261122,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.91333299999999995
216.0,1.6520449313747001,304889.61068529211,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.92000000000000004
218.0,1.6437509199150928,297136.99422730587,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.92666700000000002
220.0,1.6016546896002559,297986.75631755515,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.93333299999999997
222.0,1.6352196009837947,305549.24670548609,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.93999999999999995
224.0,1.4664946509242895,299575.89511577465,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.94666700000000004
