Time,valveStuck.m_flow,valveStuck.m_flow_real,valveStuck.cmd,valveStuck.bias,valveStuck.lambda,valveStuck.dp,valveStuck.T_in,valveStuck.valve.opening
0,0,0,1,0,0.01,0,288.15,1
0.5,0.247594,0.260215,1,0,0.01,3039.75,288.3,1
1,0.350703,0.367999,1,0,0.01,6079.5,288.45,1
1.5,0.430198,0.450705,1,0,0.01,9119.25,288.6,1
2,0.497531,0.520429,1,0,0.01,12159,288.75,1
2.5,0.557129,0.581858,1,0,0.01,15198.8,288.9,1
3,0.61126,0.637393,1,0,0.01,18238.5,289.05,1
3.5,0.661269,0.688463,1,0,0.01,21278.2,289.2,1
4,0.70803,0.735998,1,0,0.01,24318,289.35,1
4.5,0.752151,0.780644,1,0,0.01,27357.8,289.5,1
5,0.794071,0.822871,1,0,0.01,30397.5,289.65,1
5.5,0.834123,0.863035,1,0,0.01,33437.2,289.8,1
6,0.872565,0.90141,1,0,0.01,36477,289.95,1
6.5,0.909602,0.938218,1,0,0.01,39516.8,290.1,1
7,0.945399,0.973634,1,0,0.01,42556.5,290.25,1
7.5,0.980093,1.00781,1,0,0.01,45596.2,290.4,1
8,1.0138,1.04086,1,0,0.01,48636,290.55,1
8.5,1.04661,1.07289,1,0,0.01,51675.8,290.7,1
9,1.07861,1.104,1,0,0.01,54715.5,290.85,1
9.5,1.10986,1.13425,1,0,0.01,57755.2,291,1
10,1.14044,1.16372,1,0,0.01,60795,291.15,1
10.5,1.17039,1.19245,1,0,0.01,63834.8,291.3,1
11,1.19977,1.22052,1,0,0.01,66874.5,291.45,1
11.5,1.2286,1.24795,1,0,0.01,69914.2,291.6,1
12,1.25694,1.27479,1,0,0.01,72954,291.75,1
12.5,1.28481,1.30107,1,0,0.01,75993.8,291.9,1
13,1.31224,1.32684,1,0,0.01,79033.5,292.05,1
13.5,1.33927,1.35212,1,0,0.01,82073.2,292.2,1
14,1.36591,1.37693,1,0,0.01,85113,292.35,1
14.5,1.39219,1.4013,1,0,0.01,88152.8,292.5,1
15,1.41813,1.42525,1,0,0.01,91192.5,292.65,1
15.5,1.44374,1.44881,1,0,0.01,94232.2,292.8,1
16,1.46905,1.472,1,0,0.01,97272,292.95,1
16.5,1.49407,1.49482,1,0,0.01,100312,293.1,1
17,1.51882,1.5173,1,0,0.01,103352,293.25,1
17.5,1.5433,1.53945,1,0,0.01,106391,293.4,1
18,1.56753,1.56129,1,0,0.01,109431,293.55,1
18.5,1.59153,1.58282,1,0,0.01,112471,293.7,1
19,1.6153,1.60407,1,0,0.01,115510,293.85,1
19.5,1.63885,1.62504,1,0,0.01,118550,294,1
20,1.6622,1.64574,1,0,0.01,121590,294.15,1
20.5,1.68535,1.66619,1,0,0.01,124630,294.3,1
21,1.70831,1.68638,1,0,0.01,127670,294.45,1
21.5,1.73108,1.70634,1,0,0.01,130709,294.6,1
22,1.75369,1.72607,1,0,0.01,133749,294.75,1
22.5,1.77612,1.74557,1,0,0.01,136789,294.9,1
23,1.79839,1.76486,1,0,0.01,139828,295.05,1
23.5,1.82051,1.78394,1,0,0.01,142868,295.2,1
