Time,system.u,system.x,system.y
0.0,1.2370345645360528,2.0,5.3524372099234947
1.0,1.0634924013701579,2.3161299999999998,7.5533135663543245
2.0,1.0682496902003316,2.43241,7.4984000235072941
3.0,1.248239810680756,2.4752399999999999,8.0758436957395414
4.0,1.0026418279838833,2.49091,7.2570549487885723
5.0,0.89709040964375764,2.4965799999999998,8.0249180030817726
6.0,0.95759397455947548,2.4987699999999999,7.3133541758632497
7.0,1.2182151525764291,2.4995799999999999,6.7265743541227687
8.0,1.1243150794623911,2.4998200000000002,8.3749637310660905
9.0,1.0767288088464477,2.4998999999999998,8.1494972865551212
10.0,2.2770920229016163,2.4999500000000001,7.240896885528759
11.0,2.0459559134767957,4.0804200000000002,13.166524696740693
12.0,2.0881742091227924,4.6617300000000004,14.347290075261606
13.0,1.782547026737217,4.8754099999999996,13.992072374204749
14.0,2.0199037006912932,4.95411,14.805948595830065
15.0,1.8630221216603755,4.9831000000000003,15.028572779216727
16.0,1.8918580522860886,4.9937500000000004,15.518562663501754
17.0,2.1613690389760336,4.9975800000000001,15.049306951997783
18.0,2.279667175609406,4.9991000000000003,16.130375104938697
19.0,1.8559452804568273,4.9997100000000003,14.598601691384694
20.0,2.0872759638454901,4.9999000000000002,14.602556406422178
