Time,heatExchanger.Tcold_IN,heatExchanger.Tcold_OUT,heatExchanger.Thot_IN,heatExchanger.Thot_OUT,heatExchanger.metal.T,heatExchanger.mFlow_HOT,heatExchanger.mFlow_COLD
0.0,292.56548404122049,292.18786347166974,292.22720467620775,292.24684117267174,293.14999999999998,0.48456261099353787,0.28783076991450002
5.0,293.93025220701708,293.79332863698312,293.34862237981127,293.20949616357109,293.14999999999998,0.4943722768345486,0.3123926623725321
10.0,293.09024708011515,292.91758289311309,292.75995569101235,293.3972210743292,293.14999999999998,0.48550069334797508,0.30467783917952623
15.0,293.90909286060617,292.40071519783396,293.25827653620041,292.98638003248124,293.14999999999998,0.51527122541422443,0.28727216362655178
20.0,292.81927875054561,293.37078638310538,294.11203074007301,292.22980443596055,293.14999999999998,0.49910422967106882,0.29693446417495112
25.0,293.58954275432433,292.27108551230748,293.01471336924732,292.1720041274653,293.14999999999998,0.48322385738778523,0.31618259323121495
30.0,293.12237809442655,292.65913534555193,293.16113536421921,293.47883969211358,293.14999999999998,0.50925220033805985,0.28448675957415331
35.0,292.77616853369614,293.30990941314451,294.41333372012815,292.82275998372012,293.17124999999999,0.5093466716319448,0.29702870542506077
40.0,291.28507529671157,293.56090935107602,296.56794855406378,293.46591930226089,293.25599999999997,0.51163573631290549,0.31535609870239445
45.0,290.35422793639373,292.62915987713035,299.63825006443346,292.72924933338737,293.407625,0.49285320931712773,0.30563723651756103
50.0,288.85175728270116,293.1642272563538,300.96002511873758,292.85659849368562,293.62299999999999,0.50667503196059205,0.29094454864256475
55.0,288.58771231659807,292.91365651708674,303.41650619851862,293.42111486538101,293.89912500000003,0.50741284187018287,0.29844595844040878
60.0,286.50123209628333,293.58224344175693,304.65452296411638,292.82664153620948,294.23500000000001,0.51062087262022049,0.29272108206701503
65.0,286.28705584826724,293.68509773113317,308.04362757377908,293.55132790808699,294.63100000000003,0.49042033702778276,0.31621725988894578
70.0,285.4822208319913,292.91157127755429,308.61811604877886,293.11501157288973,295.0865,0.50409907027170275,0.30435341732622834
75.0,283.55413927466594,292.7001101409183,311.82816739886869,294.37193366265689,295.60050000000001,0.48786135495239569,0.30007742880976118
80.0,283.54657841347495,293.09777146314292,313.97143314052011,294.33544140448492,296.17200000000003,0.4988450518605092,0.30119283436490413
85.0,283.67786820141345,293.27181541382566,313.97139060197611,293.91676716854079,296.77800000000002,0.51493341126667835,0.31024347952768266
90.0,282.19303126124561,292.90735712933133,312.76393826893667,294.95424531205379,297.37049999999999,0.4840757940965128,0.30883560688903872
95.0,282.27363071507779,293.22421984340519,312.87234568902022,294.11246301008282,297.94349999999997,0.51761566720426699,0.29401307364093709
100.0,282.3532337140665,293.98327220458941,313.84074952827154,295.20304395761389,298.49650000000003,0.49663186535806958,0.28612034238921114
105.0,283.42948053666396,292.66440794111986,313.4621729847151,296.2979617419922,299.025125,0.48451024296158773,0.3142616810782603
110.0,282.64867912588568,292.58307613247712,313.51607627162184,298.02434474593468,299.52500000000003,0.51312762723983629,0.29067876858012204
115.0,282.40519757861574,293.25863219495022,313.87135510696174,299.09295189724168,299.99087500000002,0.500641737371608,0.28959944529229364
120.0,283.04754080751735,293.60869717980898,314.04265846743095,299.8337038560212,300.41699999999997,0.51803156987526899,0.30997213261557222
125.0,283.36779740063685,291.74582255242018,312.48177044945493,300.83171159130785,300.80012499999998,0.51970111784289341,0.30073665319125309
130.0,283.83801022315248,292.9051999833444,313.33452998890601,302.66008859978206,301.13675000000001,0.50971560102653113,0.31546309650330651
135.0,283.32788781316077,292.83529337523942,312.64235700034237,303.98273372831818,301.42649999999998,0.48812466949381789,0.28814988549602005
140.0,282.67747925003852,292.6112303176825,313.09885431512907,304.70950709954525,301.66899999999998,0.50772001453552051,0.31778726691182924
145.0,283.01283297506643,291.61511719279827,313.49057862824503,306.54629924156848,301.866625,0.4843391519815809,0.30240415385058428
150.0,284.04424429797058,291.97605523198501,313.90308488321676,308.32710926484862,302.02199999999999,0.50744284516972804,0.2875006276932397
155.0,283.21271138064702,290.5347983878483,312.67831685083672,307.73677831898328,302.13987500000002,0.48508762002268691,0.3028545928996299
160.0,284.11603711669625,291.29613225301551,313.48781894607185,310.16094160452536,302.22500000000002,0.50506189814669211,0.30312951015221601
165.0,283.045291830748,290.50768497240989,313.74618350600389,309.17763470315532,302.28275000000002,0.50642560149736127,0.2946412964079429
170.0,283.37298185588793,289.12626426696079,313.67191072329916,309.88074191662548,302.31799999999998,0.49893238121760686,0.28137560423362151
175.0,283.45263996980515,289.42877018100205,313.92063169830209,311.0942541578795,302.33612499999998,0.48959380993553497,0.30713260046182433
180.0,283.14668896374047,287.94209375479875,312.86877867065084,311.83632706834817,302.34050000000002,0.51278468915016806,0.29390301276683223
185.0,283.27947994594678,288.10365143839817,313.41100054335897,312.12188127019209,302.33512500000001,0.51044438008941206,0.30731108643541755
190.0,283.26798802339675,287.41664989614929,312.95658080383237,312.23251950020114,302.32300000000004,0.51297744743896867,0.3050452985506481
195.0,282.55424785371503,288.19970078978588,313.56572604283969,311.47307315016866,302.30574999999999,0.49732947608866457,0.28401378206726247
200.0,282.15422059988117,287.29413442047007,312.43521256651542,312.93440691602029,302.286,0.48946782356858831,0.31506506614142493
