Time,valveStuck.m_flow,valveStuck.m_flow_real,valveStuck.cmd,valveStuck.bias,valveStuck.lambda,valveStuck.dp,valveStuck.T_in,valveStuck.valve.opening
0,0.05,0,1,0.05,0.01,0,288.15,1
0.5,0.297594,0.260215,1,0.05,0.01,3039.75,288.3,1
1,0.400703,0.367999,1,0.05,0.01,6079.5,288.45,1
1.5,0.480198,0.450705,1,0.05,0.01,9119.25,288.6,1
2,0.547531,0.520429,1,0.05,0.01,12159,288.75,1
2.5,0.607129,0.581858,1,0.05,0.01,15198.8,288.9,1
3,0.66126,0.637393,1,0.05,0.01,18238.5,289.05,1
3.5,0.711269,0.688463,1,0.05,0.01,21278.2,289.2,1
4,0.75803,0.735998,1,0.05,0.01,24318,289.35,1
4.5,0.802151,0.780644,1,0.05,0.01,27357.8,289.5,1
5,0.844071,0.822871,1,0.05,0.01,30397.5,289.65,1
5.5,0.884123,0.863035,1,0.05,0.01,33437.2,289.8,1
6,0.922565,0.90141,1,0.05,0.01,36477,289.95,1
6.5,0.959602,0.938218,1,0.05,0.01,39516.8,290.1,1
7,0.995399,0.973634,1,0.05,0.01,42556.5,290.25,1
7.5,1.03009,1.00781,1,0.05,0.01,45596.2,290.4,1
8,1.0638,1.04086,1,0.05,0.01,48636,290.55,1
8.5,1.09661,1.07289,1,0.05,0.01,51675.8,290.7,1
9,1.12861,1.104,1,0.05,0.01,54715.5,290.85,1
9.5,1.15986,1.13425,1,0.05,0.01,57755.2,291,1
10,1.19044,1.16372,1,0.05,0.01,60795,291.15,1
10.5,1.22039,1.19245,1,0.05,0.01,63834.8,291.3,1
11,1.24977,1.22052,1,0.05,0.01,66874.5,291.45,1
11.5,1.2786,1.24795,1,0.05,0.01,69914.2,291.6,1
12,1.30694,1.27479,1,0.05,0.01,72954,291.75,1
12.5,1.33481,1.30107,1,0.05,0.01,75993.8,291.9,1
13,1.36224,1.32684,1,0.05,0.01,79033.5,292.05,1
13.5,1.38927,1.35212,1,0.05,0.01,82073.2,292.2,1
14,1.41591,1.37693,1,0.05,0.01,85113,292.35,1
14.5,1.44219,1.4013,1,0.05,0.01,88152.8,292.5,1
15,1.46813,1.42525,1,0.05,0.01,91192.5,292.65,1
15.5,1.49374,1.44881,1,0.05,0.01,94232.2,292.8,1
16,1.51905,1.472,1,0.05,0.01,97272,292.95,1
16.5,1.54407,1.49482,1,0.05,0.01,100312,293.1,1
17,1.56882,1.5173,1,0.05,0.01,103352,293.25,1
17.5,1.5933,1.53945,1,0.05,0.01,106391,293.4,1
18,1.61753,1.56129,1,0.05,0.01,109431,293.55,1
18.5,1.64153,1.58282,1,0.05,0.01,112471,293.7,1
19,1.6653,1.60407,1,0.05,0.01,115510,293.85,1
19.5,1.68885,1.62504,1,0.05,0.01,118550,294,1
20,1.7122,1.64574,1,0.05,0.01,121590,294.15,1
20.5,1.73535,1.66619,1,0.05,0.01,124630,294.3,1
21,1.75831,1.68638,1,0.05,0.01,127670,294.45,1
21.5,1.78108,1.70634,1,0.05,0.01,130709,294.6,1
22,1.80369,1.72607,1,0.05,0.01,133749,294.75,1
22.5,1.82612,1.74557,1,0.05,0.01,136789,294.9,1
23,1.84839,1.76486,1,0.05,0.01,139828,295.05,1
23.5,1.87051,1.78394,1,0.05,0.01,142868,295.2,1
24,1.89248,1.80282,1,0.05,0.01,145908,295.35,1
24.5,1.91431,1.8215,1,0.05,0.01,148948,295.5,1
25,1.936,1.84,1,0.05,0.01,151988,295.65,1
25.5,1.95755,1.8583,1,0.05,0.01,155027,295.8,1
26,1.97898,1.87644,1,0.05,0.01,158067,295.95,1
26.5,2.00028,1.89439,1,0.05,0.01,161107,296.1,1
27,2.02146,1.91218,1,0.05,0.01,164146,296.25,1
27.5,2.04252,1.9298,1,0.05,0.01,167186,296.4,1
28,2.06348,1.94727,1,0.05,0.01,170226,296.55,1
28.5,2.08432,1.96458,1,0.05,0.01,173266,296.7,1
29,2.10506,1.98174,1,0.05,0.01,176306,296.85,1
29.5,2.1257,1.99875,1,0.05,0.01,179345,297,1
30,2.14624,2.01561,1,0.05,0.01,182385,297.15,1
30.5,2.16668,2.03234,1,0.05,0.01,185425,297.3,1
31,2.18704,2.04893,1,0.05,0.01,188464,297.45,1
31.5,2.2073,2.06539,1,0.05,0.01,191504,297.6,1
32,2.22748,2.08172,1,0.05,0.01,194544,297.75,1
32.5,2.24757,2.09792,1,0.05,0.01,197584,297.9,1
33,2.26758,2.11399,1,0.05,0.01,200624,298.05,1
33.5,2.28751,2.12995,1,0.05,0.01,203663,298.2,1
34,2.30737,2.14579,1,0.05,0.01,206703,298.35,1
34.5,2.32715,2.16151,1,0.05,0.01,209743,298.5,1
35,2.34685,2.17711,1,0.05,0.01,212782,298.65,1
35.5,2.36649,2.19261,1,0.05,0.01,215822,298.8,1
36,2.38606,2.208,1,0.05,0.01,218862,298.95,1
36.5,2.40556,2.22328,1,0.05,0.01,221902,299.1,1
37,2.425,2.23845,1,0.05,0.01,224942,299.25,1
37.5,2.44437,2.25353,1,0.05,0.01,227981,299.4,1
38,2.46368,2.2685,1,0.05,0.01,231021,299.55,1
38.5,2.48294,2.28337,1,0.05,0.01,234061,299.7,1
