,TZon,TAmb,Q_HP1,Q_HP2,Q_GB,QCon,I_GloHor_sat,prfVen,prfOcc,powEle,T_EMI_sup
2015-01-10 00:00:00+01:00,,286.9019998550415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.9998807907104,297.8535808563232
2015-01-10 00:00:00+01:00,293.76099853515626,286.9569165229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.9998807907104,297.7631585121155
2015-01-10 00:05:00+01:00,293.7459999084473,286.98557996749884,0.0,0.0,0.0,0.0,0.0,0.0,0.04414249559781757,1999.9997019767761,297.6066319465637
2015-01-10 00:10:00+01:00,293.73799934387205,287.03578448295593,0.0,0.0,0.0,0.0,0.0,0.0,0.04406572604025615,1999.9997019767761,297.45324811935416
2015-01-10 00:15:00+01:00,293.72999877929686,287.0804259300232,0.0,0.0,0.0,0.0,0.0,0.0,0.04398895648269471,1999.9997019767761,297.3241242408752
2015-01-10 00:20:00+01:00,293.71799812316897,287.16452450752263,0.0,0.0,0.0,0.0,0.0,0.0,0.043912186925133295,2000.0001788139346,297.19900941848755
2015-01-10 00:25:00+01:00,293.7159984588623,287.2032800674438,0.0,0.0,0.0,0.0,0.0,0.0,0.043835417367571884,2000.0001788139346,297.08718204498285
2015-01-10 00:30:00+01:00,293.7139987945557,287.1970526218414,0.0,0.0,0.0,0.0,0.0,0.0,0.04375864781001046,2000.0001788139346,297.0026873588562
2015-01-10 00:35:00+01:00,293.7019985198975,287.22457194328314,0.0,0.0,0.0,0.0,0.0,0.0,0.04368187825244902,3199.999511241913,296.907529258728
2015-01-10 00:40:00+01:00,293.6959987640381,287.188751411438,0.0,0.0,0.0,0.0,0.0,0.0,0.0436051086948876,3199.999511241913,296.8610775947571
2015-01-10 00:45:00+01:00,293.68299865722656,287.1600655555725,0.0,0.0,0.0,0.0,0.0,0.0,0.043528339137326184,3199.999511241913,296.8018246650696
2015-01-10 00:50:00+01:00,293.6629978179932,287.16631450653074,0.0,0.0,0.0,0.0,0.0,0.0,0.043451569579764766,3600.000083446503,296.71866178512573
2015-01-10 00:55:00+01:00,293.655997467041,287.11454851967943,0.0,0.0,0.0,0.0,0.0,0.0,0.04337480002220336,3600.000083446503,296.66524462018685
2015-01-10 01:00:00+01:00,293.65199813842776,287.14635901451106,0.0,0.0,0.0,0.0,0.0,0.0,0.043298030464641916,3600.000083446503,296.5728196144104
2015-01-10 01:05:00+01:00,293.64599838256834,287.1115385055542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.9996900558467,296.50462045669553
2015-01-10 01:10:00+01:00,293.64399871826174,287.0852594375611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.9996900558467,296.42929153442384
2015-01-10 01:15:00+01:00,293.61999855041506,287.0736329555512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.9996900558467,296.38718824386586
2015-01-10 01:20:00+01:00,293.61299858093264,287.06150598526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0001668930054,296.3548464775085
2015-01-10 01:25:00+01:00,293.6059986114502,287.07229537963866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0001668930054,296.2810503959656
2015-01-10 01:30:00+01:00,293.6039985656738,287.01816301345815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0001668930054,296.251535987854
2015-01-10 01:35:00+01:00,293.59899826049804,286.99470710754395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.9997854232793,296.19021396636964
2015-01-10 01:40:00+01:00,293.58599853515625,286.9445964336395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.9997854232793,296.1182391166687
2015-01-10 01:45:00+01:00,293.572998046875,286.9285415172577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.9997854232793,296.08879594802846
2015-01-10 01:50:00+01:00,293.55999755859375,286.9271999835968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.9995946884155,296.01811780929563
2015-01-10 01:55:00+01:00,293.5539978027344,286.89639119042283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.9995946884155,295.98391751183397
2015-01-10 02:00:00+01:00,293.54599838256837,286.9002976372128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.9995946884155,295.9188666752406
2015-01-10 02:05:00+01:00,293.53899841308595,286.86434302330014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.000262260437,295.88473243713383
2015-01-10 02:10:00+01:00,293.5209987640381,286.83219561576834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.000262260437,295.80669956207265
2015-01-10 02:15:00+01:00,293.51499938964844,286.77616095542913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.000262260437,296.13268728256224
2015-01-10 02:20:00+01:00,293.5119987487793,286.7805680274963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.000262260437,296.59763660430906
2015-01-10 02:25:00+01:00,293.50399856567384,286.75733194351193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.000262260437,296.72205343246463
2015-01-10 02:30:00+01:00,293.49599838256836,286.73313293457034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.000262260437,296.72305879592886
2015-01-10 02:35:00+01:00,293.4759983062744,286.6860015392304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0001668930054,296.73215827941885
2015-01-10 02:40:00+01:00,293.4749980926514,286.6778935432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0001668930054,296.73323993682857
